NumberOfPositions,ATCOCode
4,2700LDPB0998
4,2700LEKC2162
4,2700LEKC2163
4,2700LET02956
4,2700LETJ6507
4,2700LFAC2488
4,2700LFB01990
4,2700LFBC2479
4,2700LFCC1813
4,2700LFCC1872
4,2700LFCC2033
4,2700LFCC2282
4,2700LFCC2508
4,2700LGBC2473
4,2700LGBC2968
4,2700LGCC1764
4,2700LGCC1802
4,2700LGCC1885
4,2700LGCC2034
4,2700LGCC2169
4,2700LGCC2475
4,2700LGDC2447
4,2700LGDC2452
4,2700LGDE2453
4,2700LGHC2468
4,2700LGHR4232
4,2700LGSC2167
4,2700LGSC2284
4,2700LH002038
4,2700LHBC2180
4,2700LHBC2969
4,2700LHCC1903
4,2700LHCC1910
4,2700LHCC1914
4,2700LHCC1923
4,2700LHCC2076
4,2700LHCC2098
4,2700LHCC2104
4,2700LHCC2181
4,2700LHCC2288
4,2700LHCC2435
4,2700LHCH2524
4,2700LHFC2174
4,2700LHHC2179
4,2700LHHC2434
4,2700LHHC2970
4,2700LHHC2971
4,2700LHL06599
4,2700LHPH2449
4,2700LHSJ2443
4,2700LHSM2432
4,2700LHSM6184
4,2700LHSM6185
4,2700LHTC2041
4,2700LIMC2290
4,2700LIMF6569
4,2700LKBC2082
4,2700LKCC2183
4,2700LKCC2973
4,2700LKFC2310
4,2700LL000820
4,2700LLBC2417
4,2700LLBC2976
4,2700LLCC1937
4,2700LLCC2470
4,2700LLCC2975
4,2700LLER2153
4,2700LLGC2471
4,2700LLHC1927
4,2700LLHC1930
4,2700LLML2465
4,2700LLSC2184
4,2700LLSC2188
4,2700LLSC2490
4,2700LLTC2044
4,2700LMC00040
4,2700LMCC1942
4,2700LMCC1948
4,2700LMCC1950
4,2700LMCC2045
4,2700LMCC2095
4,2700LMCC2978
4,2700LMEC2191
4,2700LMHC1777
4,2700LMHC1938
4,2700LMHC2513
4,2700LML01892
4,2700LMLC2445
4,2700LMLF2977
4,2700LMSC1941
4,2700LMSC2981
4,2700LMSE2517
4,2700LNBC2982
4,2700LNT02039
4,2700LNYC2983
4,2700LOBC2192
4,2700LOCC1830
4,2700LPCC2193
4,2700LPH02378
4,2700LRBC2091
4,2700LRCC1819
4,2700LRCC1961
4,2700LRCC2051
4,2700LRCC2066
4,2700LRCC2985
4,2700LRCC2986
4,2700LRLB0633
4,2700LRM01960
4,2700LRMC2027
4,2700LRMC2952
4,2700LSBC2497
4,2700LSBC2987
4,2700LSCC1972
4,2700LSCC1981
4,2700LSCC2052
4,2700LSCC2200
4,2700LSCC2201
4,2700LSCC2202
4,2700LSCC2460
4,2700LSCC2463
4,2700LSCC2990
4,2700LSDC1978
4,2700LSGS6053
4,2700LSHC2519
4,2700LSHC2989
4,2700LSMC2002
4,2700LSOC1987
4,2700LSOP1141
4,2700LSOS1167
4,2700LSSE2501
4,2700LSSJ2482
4,2700LSTA6174
4,2700LSWS0388
4,2700LT000781
4,2700LTAS6516
4,2700LTBC2446
4,2700LTBC2993
4,2700LTCC2005
4,2700LTCC2008
4,2700LTCC2063
4,2700LTCC2078
4,2700LTCC2992
4,2700LTF01889
4,2700LTFS2207
4,2700LTGC2486
4,2700LTHC2995
4,2700LTSM2484
4,2700LTSP2209
4,2700LTTC2077
4,2700LTWC2998
4,2700LUCC2212
4,2700LUCC2213
4,2700LW002014
4,2700LWAC2060
4,2700LWCC1822
4,2700LWCC1921
4,2700LWCC2017
4,2700LWCC2018
4,2700LWCC2019
4,2700LWCC2958
4,2700LWCC3002
4,2700LWE03937
4,2700LWKC2210
4,2700LWMC2498
4,2700LWSC2502
4,2700LWSC3003
4,2700LWT01635
4,2700LWTB5028
4,300000002FZ
4,300000011FZ1
4,300000011FZ2
4,300000030FZ
4,300000030FZ2
4,300000037FZ
4,300000042FZ
4,300000055FZ
4,300000068FZ
4,300000070FZ
4,300000072FZ
4,300000078FZ
4,300000079FZ
4,300000087FZ
4,300000090FZ
4,300000100FZ
4,300000106FZ
4,300000109FZ
4,300000116FZ
4,300000140FZ
4,300000142FZ
4,300000145FZ
4,300000146FZ
4,300000162FZ
4,300000162FZ2
4,300000165FZ
4,300000166FZ
4,300000180FZ
4,300000205FZ
4,300000215FZ
4,300000219FZ
4,300000223FZ
4,300000224FZ
4,300000226FZ
4,300000248FZ
4,300000269FZ
4,300000275FZ
4,300000276FZ
4,300000283FZ
4,300000294FZ
4,300000314FZ
4,300000315FZ
4,300000316FZ
4,300000324FZ
4,300000336FZ
4,300000349FZ
4,300000354FZ
